,Hye_01,Hye_02,Hye_03,Hye_04,Hye_05,Hye_06,Hye_07,Hye_08,Hye_09,Hye_10,Hye_11,Hye_12,Hye_15,Hye_16,Hye_17,Hye_18
A1BG,37,82,156,87,219,74,125,33,70,90,56,72,117,26,187,87
A1CF,4,6,24,0,13,2,5,1,2,3,2,2,14,2,2,5
A2M,4155,17439,4884,25608,65137,11146,91470,9996,8559,7674,13752,13898,25238,15512,97940,11311
A2ML1,588,21,116,32,42,342,26,14,11491,33,993,24094,332,5,147,3791
A3GALT2,14,11,14,19,28,1,10,9,9,47,9,5,8,11,3,2
A4GALT,327,507,301,156,1274,290,473,119,665,322,117,1972,443,957,2459,497
A4GNT,0,3,12,13,17,3,1,14,11,2,1,4,25,0,1,14
AAAS,5136,2602,1246,1750,3272,2467,1209,1805,2369,995,4148,2103,2453,2584,3503,1965
AACS,790,1456,555,305,792,953,550,1727,1584,202,2727,1026,679,1093,832,604
AADAC,12,49,47,1,87,1,21,3,111,17,7,132,121,3,54,398
AADACL2,2,99,51,9,419,2,21,8,23,4,4,87,25,1,245,383
AADACL3,0,0,11,1,0,1,0,0,0,8,1,0,3,0,3,10
AADACL4,1,0,7,0,0,0,2,0,0,5,32,0,0,0,0,0
AADAT,549,94,527,45,431,72,273,195,107,34,764,156,108,150,331,208
AAED1,79,104,171,129,157,157,236,107,125,113,82,71,170,118,254,156
AAGAB,2090,712,1683,435,552,1078,1217,610,1208,555,816,1821,1220,1115,993,830
AAK1,1918,2526,2656,2653,2535,1856,2060,1564,1777,1689,862,2875,2471,1620,2748,1634
AAMDC,205,226,131,182,133,83,107,314,139,24,110,97,106,263,205,210
AAMP,2534,1826,691,888,908,1933,1195,386,831,926,1923,1450,2176,2938,2029,1146
AANAT,16,6,24,13,13,11,12,13,35,15,22,3,17,21,10,11
AAR2,623,330,234,293,306,480,247,208,281,145,519,345,522,467,578,357
AARD,3,0,21,0,5,5,5,3,1,8,1,0,12,1,2,12
AARS,23996,15125,11545,4713,5689,10351,7360,9651,5286,3215,8896,6328,9343,13521,7732,3438
AARS2,1997,963,768,660,1665,1270,434,740,955,326,2760,815,1187,869,1322,743
AARSD1,33,26,26,9,26,48,6,44,35,4,50,21,15,14,11,35
AASDH,759,464,352,323,874,588,655,606,1340,267,1323,1247,617,268,877,572
AASDHPPT,674,217,206,151,212,301,246,222,370,88,282,225,236,229,353,323
AASS,296,830,1632,784,4373,600,16722,1148,2541,528,1718,1051,1434,770,2619,1724
AATF,4142,1773,4338,1180,1026,1180,2402,586,1453,1657,1362,1490,1472,3498,1781,826
AATK,24,20,183,102,216,60,148,120,116,741,68,24,180,72,98,60
AATK-AS1,1,0,17,0,0,1,0,0,0,6,0,0,0,0,0,0
ABAT,150,327,120,616,542,129,410,566,283,536,276,528,364,181,891,279
ABCA1,2935,23951,10180,43231,10496,16574,37585,9110,14792,13093,13215,11444,53628,7417,8873,12815
ABCA10,180,141,117,41,3930,185,173,644,798,112,118,54,186,132,1689,241
