,Prat_A7,Prat_A8,Prat_A10,Prat_A12,Prat_A14,Prat_A16,Prat_A18,Prat_A19,Prat_A20,Prat_A21,Prat_A22,Prat_A23,Prat_A24,Prat_A25,Prat_A27,Prat_A28,Prat_A29,Prat_A30,Prat_A31,Prat_A32,Prat_A33,Prat_A35,Prat_A37,Prat_A38,Prat_A39,Hye_01,Hye_02,Hye_03,Hye_04,Hye_05,Hye_06,Hye_07,Hye_08,Hye_09,Hye_10,Hye_11,Hye_12,Hye_15,Hye_16,Hye_17,Hye_18
100,70,138,520,53,60,158,193,240,75,155,255,106,105,224,63,210,243,393,154,189,1064,173,208,199,321,3020,613,796,373,883,847,844,217,967,944,1097,492,1153,1204,973,658
10000,616,660,882,296,316,1508,1115,1192,547,543,814,4363,571,991,199,3045,414,958,846,989,1125,730,1022,1217,1851,198,468,317,579,850,311,941,336,556,1036,188,279,448,279,1107,1342
10010,1385,2194,1727,440,1079,1632,1596,1995,1374,1037,2558,1560,1719,1068,377,1609,2544,1231,1351,1121,2493,1690,974,1531,2774,1302,1065,1613,1600,1667,1349,2694,939,1619,1124,819,923,2684,1204,1875,1353
100129668,290,118,221,104,133,267,593,373,126,137,707,257,500,209,28,289,161,136,271,313,846,222,398,151,195,97,283,581,521,642,164,225,506,402,269,207,253,777,507,884,485
100133046,11,8,7,6,7,17,12,16,15,12,20,25,16,12,4,21,1,17,15,12,17,27,15,18,19,0,0,84,0,3,3,13,1,0,22,5,0,1,0,0,0
100134219,2530,1137,10609,207,364,1795,680,4587,8116,455,9775,2309,1660,2308,21,1995,771,820,2661,895,310,637,1256,170,961,111,817,423,228,3317,1251,5063,1789,196,752,246,135,21883,3824,4115,457
1003,324,431,208,135,116,410,818,685,452,430,340,178,217,752,16,217,222,138,850,879,271,214,153,349,320,435,687,345,362,1794,585,1275,1262,535,879,1257,636,647,1163,2821,665
10148,13,26,10,12,10,20,7,21,13,13,30,18,21,20,9,31,14,21,14,10,18,43,9,11,41,11,9,12,28,11,7,28,1,9,6,3,11,55,14,29,13
10219,38,35,13,56,27,72,26,70,66,26,39,46,55,43,8,32,16,65,113,21,20,101,16,29,49,12,27,6,37,151,39,17,20,23,82,35,14,107,8,156,13
1026,1345,431,474,113,347,538,1252,1721,380,581,753,1036,1004,1263,94,1286,1092,593,429,795,353,630,991,751,2759,438,486,434,2412,722,1357,1598,1231,871,2740,137,1285,710,1727,971,1371
10288,202,156,415,93,162,386,282,284,172,182,569,313,249,265,271,269,184,320,399,237,71,304,42,124,243,104,726,158,5296,1464,744,4149,98,354,10338,378,460,2169,297,1403,514
10333,152,51,166,29,86,176,130,218,74,82,182,75,64,75,33,89,101,109,127,50,100,200,24,35,147,254,405,172,922,699,526,415,76,702,233,388,269,825,91,450,345
10344,27,33,45,11,26,35,47,41,21,40,60,38,40,51,7,284,268,44,38,357,99,49,222,59,188,1,122,30,49,2,7,1,9,25,6,2,13,6,6,8,5
10392,337,366,317,86,295,618,1236,892,418,253,363,432,764,367,57,484,204,211,400,279,320,582,359,237,550,412,347,286,824,1034,487,557,661,576,150,575,371,1003,933,562,728
10453,87,2899,970,34,45,105,146,139,80,75,201,1245,67,53,230,1925,364,365,91,356,2747,100,1995,2733,1393,287,3790,185,0,48,692,11,156,420,14,1029,196,76,0,13,8
10454,492,633,374,225,223,530,605,1119,725,273,551,592,498,391,91,691,609,650,569,413,1343,324,686,875,642,365,564,100,225,388,222,231,183,297,71,290,309,329,246,467,231
10461,373,419,344,131,203,612,1302,742,372,544,1023,610,562,406,65,2470,511,560,435,631,2022,651,817,193,2443,2782,3313,3573,3686,2510,1440,6309,621,1947,956,3869,3238,5929,1617,1687,1364
1051,1808,2711,4815,580,2233,3340,3983,9573,2433,3763,6228,2865,2730,3855,459,3095,6617,1972,2069,3522,2888,1434,2584,6907,5749,357,757,203,2577,859,831,1915,411,305,7710,411,732,2196,2223,1399,911
10533,629,582,467,215,304,664,681,1097,549,808,1189,720,695,541,108,777,733,442,679,455,614,605,406,542,551,912,1197,292,2317,1655,1014,1466,1021,1069,1289,1237,791,2087,1160,1415,1766
10538,243,143,159,40,75,120,69,294,39,113,174,99,240,90,17,93,47,147,110,26,38,217,37,40,54,7,87,29,163,62,62,338,10,44,89,16,51,255,288,148,44
10541,1625,1483,1620,462,918,1549,3168,1585,1885,1081,2992,3658,1493,1190,389,9178,3961,1767,1463,2544,8591,1516,1982,4608,3089,9474,8357,45882,3512,2184,5052,28234,2563,3800,21284,13825,5144,5097,8810,7157,3951
10563,44,209,872,35,189,221,58,857,73,30,101,607,249,96,122,238,498,1425,57,82,63,374,56,49,54,14,54,23,4,100,74,65,0,115,4,2,38,885,12,401,27
10578,502,63,278,83,56,80,44,86,248,145,68,414,2120,51,164,182,216,319,306,157,289,255,106,178,203,13,106,72,156,73,141,85,20,37,1343,10,105,302,30,89,68
10581,2888,2925,2551,579,2507,5280,3809,2130,2519,2436,2621,2933,2602,4345,452,1325,3741,1137,3856,4063,909,2489,659,998,3587,332,758,210,4650,1178,916,4796,740,609,9269,2341,716,3038,778,4719,1120
10603,96,67,72,28,43,83,87,94,110,187,185,81,75,160,40,152,149,53,93,83,49,121,74,134,120,40,63,79,116,115,94,79,106,78,281,46,43,225,270,143,40
10628,6262,4996,3840,4056,2378,11538,5655,15537,12690,22263,10856,3383,10591,6737,706,3370,2999,3758,10936,2545,4258,10592,4173,4237,5755,2675,5670,3060,28019,7713,4274,5932,9826,8395,6110,4053,6077,8294,6333,18457,4871
10663,109,34,143,57,45,105,34,76,107,43,88,148,100,75,53,98,67,235,84,25,58,142,23,68,90,47,97,24,140,258,159,142,155,119,118,121,64,355,40,238,122
10673,344,102,681,81,202,580,351,164,119,228,683,423,211,218,140,112,170,385,245,194,149,578,62,149,365,21,201,69,668,253,258,400,72,156,424,44,116,753,65,199,127
10713,205,224,321,44,178,237,413,432,159,242,472,463,179,183,75,661,621,212,209,202,1780,208,539,865,828,2420,1504,3153,728,920,1751,1214,1334,1590,889,1962,1669,1193,2062,1319,1267
10747,15,10,10,8,5,27,30,19,24,23,414,32,25,17,12,17,14,11,13,21,26,24,20,17,22,117,66,47,56,202,31,16,156,362,10,102,79,95,21,127,74
10803,7,5,6,4,8,15,11,10,10,13,18,7,9,10,1,14,11,8,9,10,15,16,13,33,26,21,5,13,3,23,2,3,1,13,18,6,6,8,1,17,7
10849,220,180,208,45,149,251,393,171,169,336,319,338,165,146,41,534,458,160,130,240,578,235,311,461,468,56,21,25,13,15,32,7,23,40,20,24,9,34,57,28,39
10850,36,15,15,6,13,47,25,49,52,20,30,15,22,15,10,25,32,24,18,23,25,20,21,34,21,7,7,17,4,24,1,1,9,2,4,7,3,8,5,5,140
10859,116,115,274,59,116,415,132,174,109,137,375,220,203,144,217,114,188,172,189,94,104,290,29,56,184,80,894,139,1706,1296,682,3352,89,505,1318,534,348,3349,163,732,121
1088,18,12,8,7,13,248,18,26,30,95,31,26,53,7,11,21,9,15,18,18,15,20,13,24,22,9,6,33,12,43,5,22,8,18,1257,12,6,2,13,14,3
10946,1584,531,700,338,392,1230,1349,929,1315,1530,1429,1847,1004,347,102,697,1148,783,784,973,2700,1100,1518,1159,1188,4584,2366,3071,1408,1658,1701,3486,1192,2242,1743,3567,1892,2682,2603,3147,1640
10995,132,33,124,75,46,110,30,91,94,41,60,129,136,51,63,55,46,119,88,30,28,172,17,38,43,5,28,8,40,39,27,17,7,31,25,2,12,70,12,93,20
11005,84,89,12,236,24,52,79,59,57,20,27,258,68,48,19,737,186,256,645,124,244,1107,767,1022,1145,1856,894,2983,55,535,334,2148,182,2654,77,2322,4788,403,441,3483,16654
11009,26,11,23,9,12,20,21,12,18,16,17,22,95,18,6,15,8,23,46,579,20,13,20,86,42,4,4,16,21,61,4,17,37,35,19,2,5,19,1,38,15
11011,537,583,453,172,420,512,1230,1033,606,628,735,1139,384,428,112,1125,949,493,454,507,1902,514,747,843,1496,1337,983,1791,611,693,833,1152,656,957,677,1257,683,773,857,1015,811
11024,22,18,21,12,14,34,23,24,36,21,49,33,21,29,25,16,22,27,28,19,20,58,14,25,23,25,71,81,255,99,42,637,21,15,674,95,52,310,75,304,19
11126,26,9,9,94,13,21,15,18,23,8,19,12,18,12,3,16,17,16,27,17,9,33,7,17,16,71,15,29,18,59,37,13,42,80,5,34,25,71,12,35,58
1118,193,40,208,16,1030,79,22,321,78,57,74,374,142,47,40,162,81,363,27,20,36,56,41,60,856,18,1157,153,296,239,105,96,46,63,151,77,456,524,62,82,39
11251,10,15,15,16,12,26,20,22,26,18,40,23,18,18,5,19,13,9,15,16,34,25,15,29,21,83,4,55,1,15,5,13,0,6,20,7,3,2,0,12,4
112744,19,19,9,8,8,22,17,16,17,8,45,24,21,14,5,25,60,20,16,36,25,20,17,18,61,0,0,14,0,0,0,7,1,0,4,0,0,1,0,2,1
114548,92,47,60,31,33,133,92,127,102,86,141,88,66,126,39,47,52,67,125,71,54,153,21,52,264,39,235,170,3603,575,190,2281,67,168,12448,121,145,471,313,514,467
114609,277,297,174,79,143,380,313,395,399,268,423,444,311,235,42,350,236,180,255,241,459,304,197,304,330,338,106,29,173,299,145,88,122,221,58,225,122,195,219,276,268
1147,756,1175,524,170,483,577,1330,758,575,440,1022,1239,519,369,145,830,981,419,572,540,1560,527,600,747,556,2995,1588,1811,1261,1333,2368,2280,1527,1731,1703,961,1593,1705,997,1659,1534
114836,48,29,40,30,24,58,27,80,43,17,35,64,59,26,17,51,25,59,37,18,31,94,24,23,40,12,173,29,315,340,97,110,6,174,162,30,38,642,26,457,38
115650,73,38,39,21,38,116,55,387,60,37,43,183,43,22,22,199,87,202,47,49,193,461,100,289,172,51,24,44,0,52,7,11,4,43,64,14,21,36,10,55,6
116379,24,15,23,3,54,74,26,77,44,18,36,30,18,29,12,31,19,20,15,19,28,53,23,24,25,0,1,11,0,6,15,5,0,0,7,8,1,30,21,11,29
