GeneID,Hwang_D01,Hwang_D02,Hwang_D03,Hwang_D04,Hwang_D05,Hwang_D06,Hwang_D07,Hwang_D08,Hwang_D09,Hwang_N01,Hwang_N02,Hwang_N03,Hwang_N04,Hwang_N05,Hwang_N06,Hwang_N07,Hwang_N08,Hwang_N09,Hwang_N10,Hwang_N11,Hwang_N12,Hye_01,Hye_02,Hye_03,Hye_04,Hye_05,Hye_06,Hye_07,Hye_08,Hye_09,Hye_10,Hye_11,Hye_12,Hye_15,Hye_16,Hye_17,Hye_18,Prat_A7,Prat_A8,Prat_A10,Prat_A12,Prat_A14,Prat_A16,Prat_A18,Prat_A19,Prat_A20,Prat_A21,Prat_A22,Prat_A23,Prat_A24,Prat_A25,Prat_A27,Prat_A28,Prat_A29,Prat_A30,Prat_A31,Prat_A32,Prat_A33,Prat_A35,Prat_A37,Prat_A38,Prat_A39
10148,499,195,43,71,81,171,41,363,97,29,681,136,99,248,123,37,27,25,69,14,39,11,9,12,28,11,7,28,1,9,6,3,11,55,14,29,13,13,26,10,12,10,20,7,21,13,13,30,18,21,20,9,31,14,21,14,10,18,43,9,11,41
10219,1077,1204,92,1468,82,1209,444,1860,640,147,152,770,26,1263,409,1701,194,42,45,35,279,12,27,6,37,151,39,17,20,23,82,35,14,107,8,156,13,38,35,13,56,27,72,26,70,66,26,39,46,55,43,8,32,16,65,113,21,20,101,16,29,49
10288,249,1496,416,10716,356,325,121,698,167,1686,1916,739,419,212,280,4824,16,100,39,718,150,104,726,158,5296,1464,744,4149,98,354,10338,378,460,2169,297,1403,514,202,156,415,93,162,386,282,284,172,182,569,313,249,265,271,269,184,320,399,237,71,304,42,124,243
10538,9770,1972,701,2505,1558,2997,909,4461,2965,1070,6514,5391,1035,2327,7588,2240,284,855,880,467,189,7,87,29,163,62,62,338,10,44,89,16,51,255,288,148,44,243,143,159,40,75,120,69,294,39,113,174,99,240,90,17,93,47,147,110,26,38,217,37,40,54
10563,5747,10554,479,154,5867,8599,907,4604,31218,3888,433,5031,4,12767,3129,4176,1591,5826,56,5,400,14,54,23,4,100,74,65,0,115,4,2,38,885,12,401,27,44,209,872,35,189,221,58,857,73,30,101,607,249,96,122,238,498,1425,57,82,63,374,56,49,54
10578,4868,9671,770,12388,1763,3455,540,9856,1127,3284,2214,1988,338,2056,6049,8471,443,197,245,41,622,13,106,72,156,73,141,85,20,37,1343,10,105,302,30,89,68,502,63,278,83,56,80,44,86,248,145,68,414,2120,51,164,182,216,319,306,157,289,255,106,178,203
10581,10073,7373,10353,22419,14658,8848,1985,18279,10668,8060,27283,22374,14715,4696,11083,10643,1440,1740,5634,1782,3145,332,758,210,4650,1178,916,4796,740,609,9269,2341,716,3038,778,4719,1120,2888,2925,2551,579,2507,5280,3809,2130,2519,2436,2621,2933,2602,4345,452,1325,3741,1137,3856,4063,909,2489,659,998,3587
10663,502,422,252,92,462,643,39,978,61,989,691,543,147,1373,200,435,50,125,39,13,54,47,97,24,140,258,159,142,155,119,118,121,64,355,40,238,122,109,34,143,57,45,105,34,76,107,43,88,148,100,75,53,98,67,235,84,25,58,142,23,68,90
10673,2537,2224,185,811,884,1621,1831,9579,1485,552,490,2917,63,2905,2339,1343,325,205,182,67,747,21,201,69,668,253,258,400,72,156,424,44,116,753,65,199,127,344,102,681,81,202,580,351,164,119,228,683,423,211,218,140,112,170,385,245,194,149,578,62,149,365
10859,1414,881,1687,3894,312,1422,127,1053,798,2480,2835,611,604,552,719,2339,53,92,297,328,187,80,894,139,1706,1296,682,3352,89,505,1318,534,348,3349,163,732,121,116,115,274,59,116,415,132,174,109,137,375,220,203,144,217,114,188,172,189,94,104,290,29,56,184
